Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Mood_Label,Confidence,Mental_Health_Benefit,Musical_Features
Millionaire,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,79,0.749,0.828,7,-5.609,0,0.142,0.472,6.24E-05,0.231,0.398,95.981,199114,Excitement,0.822,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Love Dose,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,72,0.843,0.768,11,-4.554,0,0.117,0.256,0,0.614,0.662,139.998,224444,Excitement,1,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
One Bottle Down,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",One Bottle Down,65,0.655,0.629,1,-7.231,1,0.0415,0.00109,0.063,0.0752,0.193,131.966,196556,Neutral,0.744,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
"Vigdiyan Heeran (From ""Honey 3.0"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,65,0.759,0.82,9,-4.69,0,0.0408,0.527,0,0.11,0.758,97.979,197295,Excitement,0.74,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Co2,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Way That Lovers Do,69,0.533,0.678,1,-5.244,1,0.0256,0.663,0,0.145,0.683,80.96,163653,Joy,1,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Top Class / Overseas,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Street Dreams,62,0.549,0.887,11,-4.455,0,0.332,0.293,0,0.37,0.623,123.66,288000,Anger,0.661,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
"Party All Night (From ""Boss"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,61,0.854,0.738,6,-5.388,0,0.231,0.203,0,0.298,0.804,129.989,282792,Excitement,0.893,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Chaand Baaliyan,Aditya A,61,"['desi pop', 'hindi indie']",Chaand Baaliyan,70,0.729,0.396,0,-8.98,1,0.0359,0.796,0,0.104,0.886,97.281,103264,Joy,0.923,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
"Sunny Sunny (From ""Yaariyan"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,61,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,243319,Excitement,0.833,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Tu Jaana Na Piya,King,70,"['desi pop', 'hindi hip hop']",NEW LIFE,64,0.691,0.709,9,-6.136,1,0.0301,0.359,0,0.149,0.395,102.012,226029,Joy,0.683,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Aaoge Tum Kabhi,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,69,0.534,0.863,0,-4.616,1,0.0356,0.015,0.0167,0.144,0.374,98.035,313163,Neutral,0.549,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Dil Mere,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,61,0.655,0.473,8,-9.806,1,0.0267,0.842,0.032,0.167,0.572,92.964,211290,Joy,0.673,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
TERE HO KE,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,63,0.564,0.656,7,-5.512,0,0.11,0.733,0,0.0887,0.17,132.967,223200,Neutral,0.775,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Hola Amigo,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",FAR FROM OVER,62,0.913,0.62,8,-6.098,1,0.0921,0.179,0,0.17,0.657,140.058,226285,Joy,0.767,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Liggi,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Dev,62,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,181176,Joy,1,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Chorni,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Chorni,65,0.782,0.676,7,-6.712,1,0.339,0.133,0,0.122,0.615,90.447,181000,Joy,0.291,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Kasoor,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Kasoor,63,0.558,0.497,8,-7.175,1,0.0256,0.0285,5.36E-06,0.0799,0.444,107.047,197549,Neutral,0.779,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Jatt Mehkma,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,69,0.622,0.768,0,-5.952,1,0.0648,0.0451,0,0.305,0.447,85.954,195115,Joy,0.527,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Mishri,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mishri,62,0.534,0.159,7,-14.304,1,0.0288,0.917,0,0.109,0.184,80.045,200437,Neutral,0.717,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Meri Baaton Mein Tu,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Meri Baaton Mein Tu,61,0.623,0.454,0,-9.813,1,0.0302,0.431,0,0.144,0.228,142.884,214000,Neutral,0.863,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
"Rangisari (From ""Jugjugg Jeeyo"")",Kanishk Seth,55,"['desi pop', 'hindi indie', 'indian indie', 'modern bollywood']","Rangisari (From ""Jugjugg Jeeyo"")",61,0.524,0.758,10,-9.28,1,0.0538,0.27,0.13,0.106,0.319,140.012,223271,Neutral,0.643,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Bonita,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,67,0.81,0.914,1,-4.548,0,0.128,0.672,0,0.0848,0.873,108.037,178143,Excitement,0.767,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,64,0.765,0.89,5,-4.608,0,0.0824,0.502,0,0.0423,0.918,99.961,226696,Excitement,0.752,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Baazigar,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Gunehgar,58,0.816,0.767,5,-3.592,1,0.323,0.0346,0,0.228,0.835,141.769,169014,Excitement,0.776,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Sunday,Aditya A,61,"['desi pop', 'hindi indie']",Sunday,56,0.405,0.56,1,-8.869,1,0.0766,0.819,0.00844,0.162,0.608,128.258,144923,Joy,0.836,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Joota Japani,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",Joota Japani,59,0.787,0.864,7,-4.665,1,0.0926,0.232,8.97E-05,0.107,0.877,129.933,155076,Excitement,1,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
No Cap,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",No Cap,59,0.888,0.782,9,-6.195,0,0.21,0.23,0,0.315,0.82,118.017,205423,Excitement,0.963,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Lungi Dance,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Lungi Dance,60,0.684,0.958,1,-4.793,1,0.264,0.314,1.94E-06,0.618,0.817,163.95,275399,Excitement,0.635,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Jalsa Jalsa,Baba Sehgal,54,"['desi hip hop', 'hindi hip hop']",Jalsa,57,0.922,0.906,7,-8.513,1,0.144,0.339,0.000163,0.099,0.808,111.963,258384,Joy,0.656,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
SHUTDOWN,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",SHUTDOWN,56,0.818,0.584,3,-11.796,0,0.163,0.612,5.04E-05,0.108,0.947,149.968,116307,Excitement,0.506,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Galat Karam,Panther,53,"['desi hip hop', 'hindi hip hop']",Flying Towards The City,56,0.928,0.87,4,-3.911,0,0.283,0.118,0,0.139,0.694,95.01,193263,Anger,0.661,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
Haseeno Ka Deewana,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Kaabil,56,0.583,0.94,4,-2.44,0,0.0816,0.163,8.28E-05,0.577,0.492,136.056,229208,Anger,0.991,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
Dil Chori,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Sonu Ke Titu Ki Sweety,60,0.765,0.89,5,-4.608,0,0.0824,0.502,0,0.0423,0.918,99.961,226696,Excitement,0.735,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
OOPS,King,70,"['desi pop', 'hindi hip hop']",Champagne Talk,56,0.918,0.673,0,-5.084,1,0.184,0.314,0,0.0555,0.828,99.952,163200,Joy,0.703,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Sunny Sunny,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yaariyan,58,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,243319,Excitement,0.818,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Party All Night,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Boss,58,0.854,0.738,6,-5.388,0,0.231,0.203,0,0.298,0.804,129.989,282792,Excitement,0.88,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Rangisari,Kanishk Seth,55,"['desi pop', 'hindi indie', 'indian indie', 'modern bollywood']",Jugjugg Jeeyo,59,0.524,0.758,10,-9.28,1,0.0538,0.27,0.13,0.106,0.319,140.012,223271,Neutral,0.65,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
I Guess,KR$NA,65,"['desi hip hop', 'desi trap', 'hindi hip hop']",I Guess,59,0.83,0.905,8,-5.018,0,0.237,0.172,0,0.153,0.926,137.953,186086,Excitement,0.953,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Urvashi,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Urvashi,56,0.792,0.703,0,-4.343,1,0.0368,0.195,0,0.072,0.634,105.995,215483,Joy,0.903,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Chhote Chhote Peg,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Sonu Ke Titu Ki Sweety,56,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,203881,Joy,0.598,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Satya,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,57,0.598,0.804,2,-5.39,1,0.123,0.0576,0,0.252,0.322,139.737,182640,Anger,0.446,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
F*CK WHAT THEY SAY,King,70,"['desi pop', 'hindi hip hop']",MONOPOLY MOVES,59,0.518,0.725,8,-5.048,1,0.244,0.32,0,0.328,0.596,102.822,292439,Joy,0.396,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Chora Baba Ka,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Chora Baba Ka,57,0.805,0.58,1,-7.477,1,0.0555,0.109,0.00069,0.329,0.42,96.048,175624,Joy,0.477,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
GRIND,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",GRIND,57,0.848,0.735,1,-4.661,1,0.0445,0.291,0,0.0713,0.57,98.973,175449,Joy,0.874,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Maula,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Maula,58,0.41,0.325,7,-11.303,1,0.0305,0.685,0,0.12,0.359,113.353,238000,Neutral,0.813,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Udd Gaye,Ritviz,58,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm', 'indian indie']",Ved,59,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,180413,Anger,0.777,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
6:00 AM,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,56,0.652,0.853,11,-4.365,0,0.0964,0.133,0,0.312,0.189,89.971,175169,Anger,0.826,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
Rangi Saari,Kavita Seth,64,"['filmi', 'hindi indie', 'modern bollywood', 'sufi']",Rangi Saari,57,0.613,0.685,10,-7.993,1,0.0419,0.212,0.0615,0.0926,0.268,139.985,214000,Neutral,0.744,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Kaam 25 - Sacred Games,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Kaam 25 (Sacred Games),59,0.484,0.948,1,-4.296,0,0.451,0.0473,0,0.0565,0.686,125.645,149524,Anger,0.613,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
Mulaqat,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mulaqat,57,0.717,0.182,4,-13.629,1,0.0355,0.736,0.000248,0.0746,0.232,81.99,246519,Neutral,0.751,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
"Kalaastar (From ""Honey 3.0"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,57,0.812,0.832,1,-3.333,0,0.0499,0.0659,0,0.0719,0.594,94.973,207789,Excitement,1,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Ocean,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Ocean,56,0.72,0.237,3,-11.665,1,0.0415,0.963,0,0.0952,0.606,125.334,252624,Neutral,0.764,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Luka Chippi,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,56,0.712,0.761,7,-6.846,1,0.37,0.399,0,0.142,0.722,152.85,141568,Joy,0.351,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Fugly,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Fugly,56,0.89,0.717,1,-5.858,1,0.0401,0.112,0.063,0.0402,0.658,100.034,153623,Joy,0.848,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
